year,net_cash_flow_aed,discounted_cash_flow_aed
0,-7486383.151198581,-7486383.151198581
1,1084663.7388593191,1013704.428840485
2,1080686.8834459097,943913.7771385359
3,1076727.9238818607,878930.7182538577
4,1072786.7796358496,818423.8977320731
5,1068863.3705389458,762084.8109505994
6,1064957.6167829782,709626.2266375028
7,1061069.438918912,660780.7192083802
8,1057198.7578552347,615299.3024065958
9,1053345.4948563436,572950.1572513622
10,1049509.5715409475,533517.4477814514
11,1045690.9098804707,496800.2185321925
12,-1579846.0540617253,-701470.5417626909
13,1038105.061164035,430776.6935562301
14,1034337.7198002543,401134.0007730852
15,1030587.3314726106,373532.2761860886
16,1026853.8198924414,347830.91567716596
17,1023137.1091143829,323899.00667909725
18,1019437.1235348256,301614.6598126382
19,1015753.7878903763,280864.38663901354
20,1012087.0272563272,261542.52034443256
21,1008436.7670451312,243550.67639312535
22,1004802.9330048856,226797.2503900539
23,1001185.4512178211,211196.95058496902
24,-1624151.238160393,-320195.9268889736
25,993999.2503938113,183143.5443427822
