month,start_hour,duration_hours,outage_load_kwh,unserved_energy_kwh,served_fraction,fully_served
2,0,2,403.63203073032685,0.0,1.0,True
2,6,2,528.2830990441042,0.0,1.0,True
2,12,2,685.5808757257757,0.0,1.0,True
2,18,2,810.2319440395531,0.0,1.0,True
8,0,2,625.1374134481891,0.0,1.0,True
8,6,2,818.1945558366006,0.0,1.0,True
8,12,2,1061.8142831362625,0.0,1.0,True
8,18,2,1254.871425524674,9.999996564147295e-08,0.9999999999203106,True
11,0,2,433.1660817593752,0.0,1.0,True
11,6,2,566.9379599497704,0.0,1.0,True
11,12,2,735.7453300471739,0.0,1.0,True
11,18,2,869.5172082375693,0.0,1.0,True
2,0,6,1187.1530315597847,0.0,1.0,True
2,6,6,1813.376255707571,0.0,1.0,True
2,12,6,2130.9396916498135,0.0,1.0,True
2,18,6,2130.9396916498135,0.0,1.0,True
8,0,6,1838.6394513182036,0.0,1.0,True
8,6,6,2808.5217618885563,0.0,1.0,True
8,12,6,3300.357815116175,0.0,1.0,True
8,18,6,3300.3578151161755,9.999996564147295e-08,0.9999999999697002,True
11,0,6,1274.017887527574,0.0,1.0,True
11,6,6,1946.0623231983693,0.0,1.0,True
11,12,6,2286.862108111995,0.0,1.0,True
11,18,6,2286.8621081119954,0.0,1.0,True
2,0,10,2341.6593547516754,0.0,1.0,True
2,6,10,3205.313185211419,0.0,1.0,True
2,12,10,3709.8532236243273,0.0,1.0,True
2,18,10,2911.492809900372,0.0,1.0,True
8,0,10,3626.7163177251564,0.0,1.0,True
8,6,10,4964.326518559149,0.0,1.0,True
8,12,10,5745.7482853693855,9.999996564147295e-08,0.9999999999825958,True
8,18,10,4509.263254357894,479.24064921229,0.8937208536784503,False
11,0,10,2513.0002831481397,0.0,1.0,True
11,6,10,3439.8482963244496,0.0,1.0,True
11,12,10,3981.3058985236685,0.0,1.0,True
11,18,10,3124.5288691613755,0.0,1.0,True
